season,conference,adj_off_eff,adj_def_eff,adj_tempo,eff_diff
2025,ACC,127.954,89.7995,65.7242,38.1545
2015,SEC,121.27,83.8367,61.9696,37.4333
2025,B12,123.226,87.7815,61.4245,35.444500000000005
2021,WCC,126.111,89.4872,74.7701,36.6238
2024,BE,126.609,94.3959,64.4531,32.2131
2025,SEC,128.6,92.4375,69.5882,36.162499999999994
2025,SEC,128.426,93.379,67.5825,35.04699999999998
2019,ACC,123.571,87.9163,59.2665,35.65469999999999
2021,B12,123.265,93.7679,68.3891,29.497100000000003
2018,BE,127.384,95.9749,68.277,31.409099999999995
2015,B10,126.815,93.2904,58.0767,33.52459999999999
2019,WCC,125.125,92.336,69.7687,32.789
2015,ACC,124.253,94.9453,65.6368,29.307699999999997
2015,P12,118.227,85.9123,65.5943,32.3147
2017,WCC,120.711,87.6571,70.022,33.0539
2016,BE,118.299,91.552,66.5578,26.747
2024,B12,118.869,87.1503,63.267,31.7187
2022,WCC,121.805,88.836,72.4831,32.96900000000001
2025,SEC,120.275,89.122,63.6184,31.153000000000006
2019,B10,121.729,90.3679,67.4035,31.361099999999993
2019,ACC,120.084,88.0911,72.2115,31.992900000000006
2015,BE,122.473,91.5163,63.8347,30.956699999999998
2024,B10,124.99,95.8716,67.3768,29.118399999999994
2025,SEC,126.511,96.5798,74.8553,29.93119999999999
2020,B12,,,,
2015,ACC,115.318,84.4292,57.5332,30.888800000000003
2019,B12,112.694,85.9468,66.5403,26.747200000000007
2017,BE,122.753,91.9756,63.9872,30.7774
2023,BE,119.437,94.0686,66.6901,25.368399999999994
2016,ACC,121.139,93.1009,71.0747,28.0381
2021,B10,119.434,88.6425,66.8217,30.7915
2018,ACC,116.528,84.3753,59.1912,32.15270000000001
2016,B12,120.379,90.575,68.811,29.804000000000002
2016,ACC,120.224,91.1288,60.6947,29.095200000000006
2021,B10,118.957,88.3445,70.7135,30.612499999999997
2018,ACC,122.602,93.467,70.0021,29.135000000000005
2021,Amer,118.922,90.1017,64.9246,28.820300000000003
2025,B10,118.142,90.5691,67.7098,27.57289999999999
2019,B10,115.516,86.081,64.4257,29.435000000000002
2017,ACC,122.075,94.0654,70.6955,28.009600000000006
2024,SEC,120.584,91.682,69.7854,28.902
2025,WCC,123.564,96.2729,70.1658,27.291099999999986
2016,B10,123.022,93.3408,66.3201,29.681200000000004
2025,B12,125.287,97.2355,65.409,28.051500000000004
2015,WCC,121.92,92.9958,64.2083,28.9242
2022,Amer,117.348,90.8508,63.8376,26.497199999999992
2019,ACC,119.872,90.701,74.2921,29.171000000000006
2017,SEC,119.139,91.8728,72.7658,27.266199999999998
2023,Amer,118.387,89.5678,63.3299,28.819199999999995
2021,P12,112.883,90.6583,67.2898,22.2247
2022,B12,119.389,93.8965,69.0976,25.492499999999993
2019,SEC,118.223,90.8094,65.8287,27.413600000000002
2017,SEC,115.851,89.4618,68.8208,26.389200000000002
2017,B12,120.833,94.8585,70.2533,25.974499999999992
2023,SEC,116.097,88.5549,72.7469,27.54209999999999
2023,P12,114.875,87.2423,66.2741,27.6327
2015,P12,116.433,89.5299,60.3923,26.90310000000001
2017,B12,116.472,89.6731,69.8998,26.79889999999999
2022,B12,117.874,91.5538,67.2084,26.3202
2025,B10,118.136,91.7865,69.7995,26.349499999999992
2019,B10,121.093,95.0422,65.6263,26.05080000000001
2020,WCC,,,,
2021,B10,123.496,94.5925,69.9829,28.903499999999994
2018,Amer,113.155,86.158,64.6798,26.997
2025,B10,122.016,96.0406,67.5878,25.975400000000008
2025,B12,119.432,92.4359,68.5585,26.9961
2024,SEC,117.028,91.0569,69.1983,25.971100000000007
2024,P12,121.127,94.5032,71.8363,26.62379999999999
2025,B12,122.541,96.8148,69.8563,25.72619999999999
2024,B12,113.865,87.1473,67.3386,26.717699999999994
2024,ACC,121.828,96.9516,66.677,24.876400000000004
2018,B10,123.248,96.5818,67.2291,26.666200000000003
2019,SEC,122.479,95.4987,67.703,26.9803
2024,ACC,117.798,93.1528,70.4464,24.645200000000003
2017,MVC,119.636,93.2236,68.6272,26.41239999999999
2022,P12,119.64,92.431,72.1752,27.209000000000003
2025,BE,113.892,87.514,70.112,26.378
2022,SEC,120.191,93.5959,67.3275,26.595100000000002
2022,B12,109.701,85.0595,66.455,24.641499999999994
2017,ACC,117.179,90.4602,67.9905,26.7188
2020,B12,,,,
2018,B10,119.983,93.6364,67.1449,26.34660000000001
2025,B10,124.232,100.394,64.971,23.837999999999994
2016,SEC,122.508,97.3082,66.9955,25.199799999999996
2022,ACC,119.363,95.6508,67.3866,23.712199999999996
2021,SEC,111.722,86.734,73.9267,24.988
2021,P12,114.417,92.7358,66.3585,21.681200000000004
2022,SEC,111.439,86.1987,67.1668,25.24029999999999
2019,SEC,119.571,96.2397,67.5363,23.3313
2020,A10,,,,
2015,ACC,124.623,100.552,63.2851,24.070999999999998
2017,P12,117.728,93.9002,66.7169,23.827799999999996
2017,Amer,120.073,94.8141,63.5675,25.258899999999997
2016,ACC,113.035,88.7196,66.0679,24.315399999999997
2020,ACC,,,,
2022,BE,117.95,93.8397,62.55,24.11030000000001
2020,MWC,,,,
2024,B10,125.554,101.566,69.8866,23.988
2025,SEC,123.783,99.5253,70.9288,24.2577
2023,B12,116.581,92.0106,69.1219,24.570400000000006
2016,B12,116.39,90.4754,69.3697,25.914600000000007
2025,B10,121.626,98.0619,71.3262,23.56410000000001
